job_id,iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0,0.0014098642539448114,0.18182901282149316,14532.313208928628,2.0,4.6833317944085964e-07,2.75e-06,0.026131437795461013,0.027679249924027278,0.014124154775295661,0.00017440072356541777,0.00017915577365320982
0,1,0.0009777699537842975,0.1160324556477333,20209.675875901285,3.0,4.7172565388936e-07,2.75e-06,0.02909635562722926,0.023637131714805557,0.012035956152514753,0.0002815476640519827,0.00010136183695591452
0,2,0.00020677648291107106,0.2620036444740457,24508.221871353573,1.0,4.700126597174747e-07,2.75e-06,0.041013243023642176,0.0064735114762438034,0.003586748485961582,0.0002448004353404324,3.20898371151022e-05
0,3,0.0008398059461740957,0.04400598622271392,23727.38509214043,3.0,4.502967845213014e-07,2.75e-06,0.039472805260389134,0.024670885209112873,0.010139160397703368,0.0003314069818958693,7.766596821754587e-05
0,4,5.498117896104564e-05,0.04590246015510495,7113.391929786516,2.0,4.569769215217211e-07,2.75e-06,0.02837798205931444,0.012480759337405159,0.0019971983912627513,0.000356871010635633,2.9428626427729588e-05
1,0,0.0011433161605854346,0.001034312445203466,8953.649170532315,1.0,4.589501929417978e-07,2.75e-06,0.0985638435571569,0.10112925427669246,0.001721213500928964,0.00015773122084110052,0.0001367553477567618
1,1,8.359486546922644e-06,0.1583644478718614,12199.416556929804,1.0,4.783864980398098e-07,2.75e-06,0.050555577129761185,0.006015588634380147,0.0005111543837146299,0.00033049046907183635,3.171204054821743e-05
1,2,0.0003776297767134041,0.028840242592221375,13917.508625663448,1.0,4.7050889193105443e-07,2.75e-06,0.023039478273355566,0.015762744008045157,0.0070608566403990046,0.00015946686177390572,5.5539914683418056e-05
1,3,8.711335812460602e-05,0.043636040642487085,20016.23287198238,1.0,4.730466168394574e-07,2.75e-06,0.03609094096519448,0.005719815735323746,0.0019592182906573072,0.00020091895617092774,3.070965149711292e-05
1,4,0.0001106901512011679,0.02608690136410786,23087.810694183754,1.0,4.550460860375611e-07,2.75e-06,0.02081999375079688,0.006868025242336952,0.002889857364080216,0.0002493235687705533,3.0336931352816106e-05
2,0,5.3518822522639413e-05,0.16589874336361274,12012.415030220369,1.0,4.640774627117105e-07,2.75e-06,0.021220224202412024,0.005914294013529582,0.0005317210902995711,0.00019101007350815998,3.152814900506917e-05
2,1,5.0090511692852034e-05,0.19082131918028106,20819.214591162414,3.0,4.5218537140687145e-07,2.75e-06,0.02274696422080839,0.005834955129172779,0.0005009201555086767,0.00035993631283338484,3.1431220291163516e-05
2,2,1.6239961335620427e-05,0.29188972174803784,8831.422213476819,2.0,4.613800470225176e-07,2.75e-06,0.02097188001827951,0.005956527060147917,0.0005052120882886077,0.00023357523990027852,3.0500243511713624e-05
2,3,0.00020873458683654846,0.11124141058715406,12779.492435823042,2.0,4.703444849126295e-07,2.75e-06,0.022822049785171095,0.010760646368971867,0.00849649464124791,0.00014511860277328752,6.969000819864636e-05
2,4,0.00021229057991681397,0.29036532402677656,13500.192306914985,1.0,4.568214189030418e-07,2.75e-06,0.020961265423606518,0.008327382250001148,0.006342837823765615,0.00025038087607763435,5.026659787098966e-05
3,0,0.001462807621000638,0.0882714216738833,13749.03491954625,2.0,4.686738062222244e-07,2.75e-06,0.025358277377369887,0.0353970421699348,0.015947482627220604,0.00023689393460546578,0.00020999078616463826
3,1,9.351145910307219e-05,0.13324295309519094,2687.15285020704,3.0,4.5255057518954896e-07,2.75e-06,0.0665120018275039,0.024982468099512368,0.01690545816993522,0.0006745580285820547,0.0003082085848019524
3,2,0.0005754735525653818,0.09290818896846006,15492.25928731587,1.0,4.4496899728412646e-07,2.75e-06,0.03217651215722962,0.012356760120187833,0.007267565601760297,0.0004186142157869862,5.255382276757466e-05
3,3,6.577856925811927e-05,0.11739137726669463,23536.8239467899,1.0,4.607108557224996e-07,2.75e-06,0.02283126715167144,0.005964182368845554,0.0005622320944529511,0.00015950348051235418,3.208181961302387e-05
3,4,0.00014798914715302561,0.16835222871653527,10315.989550439297,2.0,4.58190425963499e-07,2.75e-06,0.022739786977195097,0.010225841890317576,0.008710965696479568,0.0002466862236765132,8.119877529776317e-05
4,0,0.00010787927164319207,0.2928053079894653,18440.767854510388,3.0,4.69268850871171e-07,2.75e-06,0.03655893869580348,0.005727968340167158,0.0022638579030818838,0.0001922296336353459,3.1473665168073516e-05
