job_id,iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss,D,accepted
6,0,6.26456769492425e-05,0.2473687369173495,2959.022391680748,1.0,4.71423527362798e-07,2.75e-06,0.0211060332450512,0.0054424662606501,0.0010241054936559,0.0001793445622455,2.854935672362216e-05,1.7671771385385737,True
85,3,6.808902908565862e-05,0.1524969569051407,10452.320590966316,2.0,4.6000023606584373e-07,2.75e-06,0.0209207864491453,0.0054559994166062,0.001044867973954,0.0002583976923726,2.937480518749014e-05,1.7681447707699895,True
99,3,7.392577969195596e-05,0.1865861636181144,8642.43689412067,2.0,4.566236424514967e-07,2.75e-06,0.0212065475480204,0.0054421790804826,0.0014439094010792,0.000274796635638,2.9669015728734572e-05,1.7685585281950076,True
441,4,8.638617229790444e-05,0.2585445130398981,9681.740015852029,3.0,4.574950693609651e-07,2.75e-06,0.0214487924792985,0.0054378607715576,0.0016822317721303,0.0003000184556541,3.0300114433699893e-05,1.7709408010124772,True
86,4,7.532986923578477e-05,0.0902291400847373,24937.551198368088,3.0,4.545214177887587e-07,2.75e-06,0.0206647434106712,0.0054813106828404,0.0010752899741451,0.0002110398050138,3.057848780770709e-05,1.771317232568799,True
168,4,8.370331817107127e-05,0.1154080627819007,16715.174128227158,2.0,4.542998396515403e-07,2.75e-06,0.0206466258320317,0.0054876514375573,0.001745215893953,0.0002263360884978,3.049287970362547e-05,1.772772363050533,True
270,1,7.529928109958072e-05,0.124668168530848,9317.565435694623,1.0,4.539126201962947e-07,2.75e-06,0.0207383516144803,0.0054847337430274,0.0011632137538231,0.0002059291501455,3.0166394672603063e-05,1.773283137539604,True
271,2,7.559390499277807e-05,0.1720687802783506,15780.468040702775,3.0,4.500009676521914e-07,2.75e-06,0.021606417754575,0.0054396622206386,0.0009398404502185,0.0003084173295671,3.017714643786184e-05,1.7737442610250653,True
373,3,7.013318140905762e-05,0.1155576132932544,23912.803053144933,3.0,4.579467369850086e-07,2.75e-06,0.0210797100617839,0.0054933819600253,0.0007153733703019,0.0001900913802711,3.09376847936306e-05,1.7804830748208444,True
228,2,6.961554052840103e-05,0.2225191054460784,8708.283264214813,2.0,4.5266615532357253e-07,2.75e-06,0.0212962072397901,0.0054833915898,0.0009581212004589,0.0002914284478814,2.936757927138549e-05,1.7809215816836463,True
214,0,8.106432893543599e-05,0.2739222400428278,11317.845975107188,3.0,4.6054587819124803e-07,2.75e-06,0.0210268776658085,0.0055052852156488,0.0010944972613627,0.0002722636112554,2.984738670286061e-05,1.7829297172188792,True
22,4,8.885019322665899e-05,0.0602675527496017,19977.3232230193,1.0,4.546252880979467e-07,2.75e-06,0.020740065013263,0.0055256682938435,0.001673164586999,0.0002235515544222,3.108697777156651e-05,1.7843539669192412,True
308,2,5.836653766847589e-05,0.1979047693785841,8077.816140538764,2.0,4.599072787875801e-07,2.75e-06,0.0210000068828286,0.0055144630778443,0.0006315858906938,0.0002379690033669,2.88093955392958e-05,1.785017626479848,True
87,3,6.864444870461626e-05,0.0919577604817729,19679.64254070983,2.0,4.617746700062479e-07,2.75e-06,0.0218529142444378,0.0054720674722805,0.0008999025914658,0.0001616157472686,3.0727791243185486e-05,1.7860543224062235,True
46,2,7.518543938825674e-05,0.1126633233418375,8035.549517848533,1.0,4.638191277828976e-07,2.75e-06,0.021350802099703,0.0055025186185762,0.0014271107572129,0.0001653616554163,2.9841202026078745e-05,1.7868483694743278,True
171,2,5.784076363939677e-05,0.3004544260609442,4562.800825051623,2.0,4.602158404571114e-07,2.75e-06,0.0210602732126422,0.0055219767006732,0.0006756881873928,0.0002645007611317,2.6291145931754876e-05,1.7879015692362015,True
419,2,7.34203156633955e-05,0.0480732803277997,21528.88332603806,1.0,4.619653994379989e-07,2.75e-06,0.0216770802015123,0.0054898129950416,0.0010859974869952,0.0001640555583946,3.119528158354886e-05,1.7882033622369398,True
52,2,6.565300163585427e-05,0.1255336558427473,19072.300823558744,2.0,4.586095425004746e-07,2.75e-06,0.0207075329611293,0.0055444456191652,0.0006568068736505,0.0002152504589329,3.114169137365283e-05,1.788968805986954,True
302,4,6.643399307247025e-05,0.1447181373426209,17700.12872239982,3.0,4.5428653915374005e-07,2.75e-06,0.0210881082094371,0.0055269833979837,0.0006447602179529,0.0002717731047546,3.0408926677309592e-05,1.7896474833749296,True
397,0,5.659490555430264e-05,0.0859480029625651,17533.231596430793,2.0,4.6189847892843574e-07,2.75e-06,0.0208997354059119,0.0055373235747958,0.0005999914567244,0.0001861925609643,3.0424098156349668e-05,1.7897552455544947,True
122,4,6.43538946077391e-05,0.1910141094572943,13976.10650990662,3.0,4.592594038185227e-07,2.75e-06,0.0208365890933077,0.0055441585054103,0.0006136935489416,0.0002197226505132,3.0103652943104037e-05,1.790707300737745,True
280,0,5.633734730679479e-05,0.1491891815757863,8992.472851984048,2.0,4.595301724949624e-07,2.75e-06,0.0210511503695874,0.005533523780291,0.0006775876273416,0.0002396061349617,2.853054307708781e-05,1.790881782891002,True
105,0,6.921251406961606e-05,0.2588067235265941,4430.7972123389445,1.0,4.589355454995449e-07,2.75e-06,0.020779731680657,0.0055529768561493,0.0009591456007655,0.0002178914992955,2.9047477926585777e-05,1.7922880630486018,True
496,0,8.531481952592143e-05,0.2313168468070309,16410.66608160233,3.0,4.5642468034925094e-07,2.75e-06,0.0215347371042199,0.0055142852139064,0.0011643547927563,0.000317111435387,3.0718716143275066e-05,1.7926780947090157,True
418,2,7.540423841556058e-05,0.1609605929124666,5156.372707135364,1.0,4.627870436299339e-07,2.75e-06,0.0211930856083215,0.0055334494796954,0.001592778943648,0.0001716639289845,3.139398670263818e-05,1.7928903902815365,True
307,1,5.22272257334966e-05,0.1061288342136711,15961.038745573254,2.0,4.576767007634847e-07,2.75e-06,0.0208628481206746,0.0055571138965097,0.0005650534310717,0.0002224166328662,3.0508615064041307e-05,1.794575430947922,True
228,1,6.837667011322303e-05,0.2052952090583781,11441.775333797588,2.0,4.61437757676689e-07,2.75e-06,0.0208663696550827,0.0055577970552288,0.0007725402014647,0.0001969049055368,3.036655686771402e-05,1.7948095324000448,True
394,3,8.791528234057881e-05,0.2130227755744041,6698.5030972266895,1.0,4.639814742886842e-07,2.75e-06,0.0211049547692243,0.0055547325803017,0.0016873230140197,0.0002876297615944,3.1421124370417674e-05,1.7973629396085122,True
121,4,9.421642643307176e-05,0.1271027279890204,19973.690127766786,2.0,4.631190845763063e-07,2.75e-06,0.0207601715467381,0.0055769684202915,0.0021102271191786,0.0002670921022553,3.104321346314995e-05,1.7984979427111498,True
