0.00056236693,6.5235103e-06,-1.4573741e-05,-4.4745371e-05,-4.6884214e-05,-3.381719e-05,-4.799635e-05,-3.602566e-05,-2.4079347e-05,-2.4258439e-05,-5.5317702e-05,-4.5436284e-05,-4.342053e-05,-3.3086463e-05,-4.8092881e-05,-3.9650424e-05,-3.1505845e-05
6.5235103e-06,0.00054614963,-2.4667063e-05,-4.3382201e-05,-3.883577e-05,-3.196531e-05,-4.6969878e-05,-3.3499357e-05,-2.683816e-05,-2.2855363e-05,-4.882879e-05,-4.3440295e-05,-4.1902943e-05,-3.2536431e-05,-4.3905638e-05,-3.7467076e-05,-3.5578864e-05
-1.4573741e-05,-2.4667063e-05,0.00051172091,-3.9266042e-05,-3.5307513e-05,-3.43361e-05,-4.4845606e-05,-4.0325068e-05,-3.0153997e-05,-2.9735011e-05,-4.5892915e-05,-3.3556494e-05,-3.0286178e-05,-3.6490274e-05,-3.2302066e-05,-1.9465538e-05,-2.0517304e-05
-4.4745371e-05,-4.3382201e-05,-3.9266042e-05,0.00055317809,-1.7486977e-05,-2.4884554e-05,-3.7736968e-05,-2.3314874e-05,-4.2759827e-05,-3.9114925e-05,-4.2019251e-05,-3.894554e-05,-2.768876e-05,-1.9200173e-05,-3.1040556e-05,-4.4414552e-05,-3.7177523e-05
-4.6884214e-05,-3.883577e-05,-3.5307513e-05,-1.7486977e-05,0.00053761484,-2.4659983e-05,-4.5277783e-05,-1.4681879e-05,-3.8169768e-05,-4.145853e-05,-4.2380348e-05,-2.9737529e-05,-3.6616983e-05,-3.3257538e-05,-2.8107757e-05,-3.1950804e-05,-3.2801464e-05
-3.381719e-05,-3.196531e-05,-3.43361e-05,-2.4884554e-05,-2.4659983e-05,0.0005200697,-4.1246544e-05,-2.6897526e-05,-3.2356373e-05,-3.3900279e-05,-4.2508886e-05,-2.7874554e-05,-2.9044936e-05,-3.2165565e-05,-3.3253306e-05,-3.1432904e-05,-3.9725694e-05
-4.799635e-05,-4.6969878e-05,-4.4845606e-05,-3.7736968e-05,-4.5277783e-05,-4.1246544e-05,0.00070744539,-3.5810296e-05,-3.8441447e-05,-4.8466455e-05,-5.1651878e-05,-3.7214317e-05,-4.7477714e-05,-5.3001144e-05,-4.3921457e-05,-4.3630533e-05,-4.3757025e-05
-3.602566e-05,-3.3499357e-05,-4.0325068e-05,-2.3314874e-05,-1.4681879e-05,-2.6897526e-05,-3.5810296e-05,0.00054427578,-4.0719754e-05,-3.5625572e-05,-4.4935603e-05,-2.8770475e-05,-3.2610857e-05,-2.4979859e-05,-4.2099853e-05,-4.817708e-05,-3.5802064e-05
-2.4079347e-05,-2.683816e-05,-3.0153997e-05,-4.2759827e-05,-3.8169768e-05,-3.2356373e-05,-3.8441447e-05,-4.0719754e-05,0.00052130526,-1.6275483e-05,-4.9018728e-05,-2.4560672e-05,-4.252218e-05,-3.8115353e-05,-3.5688384e-05,-1.4261617e-05,-2.7344175e-05
-2.4258439e-05,-2.2855363e-05,-2.9735011e-05,-3.9114925e-05,-4.145853e-05,-3.3900279e-05,-4.8466455e-05,-3.5625572e-05,-1.6275483e-05,0.00054773383,-5.1654275e-05,-3.7481605e-05,-4.0135941e-05,-2.6114648e-05,-4.5443074e-05,-3.393753e-05,-2.1276703e-05
