iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,1.3717094360298418e-05,0.19330309267445814,7307.0277575407,3,4.5117686483034486e-07,2.75e-06,0.02797289410443755,0.005798182271806222,0.0005310805538015429,0.00046359454271274183,2.6115244623859824e-05
1,3.555026523802546e-05,0.239407469670609,11341.376021399059,2,4.6490762217697176e-07,2.75e-06,0.035258424010022056,0.005901869527040461,0.0004866306610648691,0.0001686807623381934,3.089398438115981e-05
2,7.355982845461603e-05,0.16074284328737956,6640.738725726203,2,4.540747314993474e-07,2.75e-06,0.02181345858259422,0.00588568190078656,0.0019403971660828436,0.0003010066821781529,3.2980436812525664e-05
3,1.2284656981874312e-05,0.06746775860567027,10053.135479280303,3,4.67695867585648e-07,2.75e-06,0.0338549000891434,0.008179327050148328,0.0005818821833905461,0.00021451199796232825,2.2165550208870007e-05
4,0.00029752802606371784,0.23851356152868428,3297.3463375765996,2,4.683201999410669e-07,2.75e-06,0.04427574114995697,0.03546584758767799,0.03720856413696668,0.00023379978704125208,0.000622144137500314
