iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,4.04184877838959e-06,0.015438031774023007,14090.468905135613,3,4.750490420272693e-07,2.75e-06,0.033004639452355565,0.023554924532410693,0.0006634929964187065,0.0004267641606633302,1.5464318715919135e-05
1,0.00028294220286170714,0.06873661415699477,4052.665151911987,2,4.734386483353779e-07,2.75e-06,0.037693743974962494,0.04287198347406046,0.030637774795173222,0.00021803371882393252,0.0005268139825376361
2,9.17236079126784e-05,0.2633572655814923,15291.224954114306,1,4.646751210421149e-07,2.75e-06,0.02301154323166277,0.005946715352059544,0.0007923544591944302,0.00015767215378491913,3.184073884987735e-05
3,0.000828137125478406,0.28697693970071625,9549.712249414039,3,4.6413361448693224e-07,2.75e-06,0.0360215548882779,0.03315790441117175,0.026176819382282685,0.00017973218914876953,0.0002929884415711888
4,5.880865266804993e-06,0.1634310713476872,8741.129872222635,1,4.638359661485781e-07,2.75e-06,0.026973323938461507,0.005882445045279225,0.0005183955199183844,0.00013584265409990448,3.10567296663523e-05
