iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0.00013064375891858225,0.13861586866244843,17173.48506973601,3,4.645183750018975e-07,2.75e-06,0.02425892704577899,0.008588026224896626,0.006456451585619776,0.00014190667116279704,5.171522503634186e-05
1,7.214480935423503e-05,0.20365021342105508,12821.209635417139,2,4.64232260641175e-07,2.75e-06,0.022859125159367232,0.005563682254965542,0.0008292348224278246,0.00015570464461188945,3.067309547633112e-05
2,2.0265368797365148e-05,0.054412694057311514,9479.423507266754,1,4.544824676089734e-07,2.75e-06,0.021308783740065673,0.005944970829068294,0.0005020022105151214,0.00027534323540093854,2.879131083865441e-05
3,9.018860533484007e-05,0.10183603987430195,11116.265476901972,3,4.627628680725964e-07,2.75e-06,0.021501073931152817,0.008173861835662927,0.003982741746335378,0.00014056429707961756,4.451995664528729e-05
4,6.0436974734017434e-05,0.2968349225017544,10751.215615450055,1,4.629729601730492e-07,2.75e-06,0.022719636143032147,0.0061695405945519435,0.0005371852222076549,0.00016279985654670808,3.1750047752262626e-05
