iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,5.367967104713793e-05,0.27351214068697005,3578.6859134737665,3,4.6151264205190524e-07,2.75e-06,0.021501947947093366,0.005920610145689664,0.0006740096083548412,0.00027176861862807767,2.113675416795501e-05
1,0.0006104802114622567,0.05928579662470618,12273.168131373728,3,4.6728319463083597e-07,2.75e-06,0.03220887671292937,0.03281683913961254,0.017657009045739285,0.00016083089946864132,0.00018733969864481509
2,9.52584314758481e-06,0.2379222073319749,11106.088279368954,2,4.664301570968155e-07,2.75e-06,0.028040800710039504,0.005922457270925471,0.0005047128811853706,0.00013608956855247202,3.0929479282418184e-05
3,2.0005582784681657e-05,0.19598482514708623,21990.54561095225,3,4.57528792542222e-07,2.75e-06,0.02122531359653836,0.00593429559208494,0.0005050764777523075,0.00019524605552806643,3.166355633293322e-05
4,0.0002885266971856142,0.07971899399924336,16156.156739539188,3,4.7182469568609154e-07,2.75e-06,0.025653933950348918,0.014459035993933651,0.01080254040079344,0.00016708623267683602,8.051543319901354e-05
