iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,2.642500341223782e-05,0.05810368920323747,21360.77575504734,2,4.630653305596736e-07,2.75e-06,0.02100216862717391,0.0057716587075054586,0.0004912658419102197,0.0002060362495424307,3.055026872237202e-05
1,7.732314077344668e-05,0.2161942841338825,3088.424422636376,3,4.5939114773026217e-07,2.75e-06,0.0206916872626965,0.009289552951373294,0.00363063410816147,0.00022492534453051648,6.885085021748286e-05
2,4.5825335576818174e-05,0.2568904333806178,21494.870061530706,1,4.706638540388833e-07,2.75e-06,0.040510580658800234,0.006363784523671266,0.0004944423230200743,0.0002082561356709846,3.2341524451064093e-05
3,9.748844653688536e-05,0.036591539603757495,10598.606598048409,2,4.6356058252815797e-07,2.75e-06,0.023977947785517203,0.014683934659895542,0.006694480279085959,0.00016584200513936913,6.295289565705712e-05
4,0.00013142457183702236,0.025512591364888437,10499.59019235269,3,4.7541393814644303e-07,2.75e-06,0.027173169934543884,0.029411776200559556,0.01234358585662431,0.0003349554272927021,0.00011982039253034251
