iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,7.269364012907193e-06,0.10306742032667812,24795.216167505172,2,4.728439150804024e-07,2.75e-06,0.04855813643803334,0.0057996430667281796,0.0005028056895177202,0.00031187286313396023,3.173979318115986e-05
1,0.00013487927068403264,0.1560910019499758,20764.10265410218,3,4.57408836669752e-07,2.75e-06,0.020660426190940873,0.007614017881177469,0.005382635892726358,0.00016562694693322453,4.178188558781393e-05
2,0.00022910906886453229,0.2011622274493062,3096.8679573864747,1,4.569933873501317e-07,2.75e-06,0.051091854851657514,0.02681971568335884,0.030072571225775932,0.00045987108499239543,0.00047599023394642286
3,0.000162155962181184,0.03852032032672011,12353.380561258606,3,4.697703370304336e-07,2.75e-06,0.027405422395250078,0.020477019490458683,0.011610933019806742,0.000222614035196745,0.000101549710987756
4,4.449720017916892e-05,0.02853200146665544,13435.587561350194,3,4.5837091133243043e-07,2.75e-06,0.02270230268106384,0.014116099568574412,0.0008037766078960261,0.0002166706825109956,1.959810212875745e-05
