iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0.00022109690388390942,0.07504981326852159,9762.415856307744,2,4.882404304223188e-07,2.75e-06,0.056275477985088494,0.015884491852915256,0.011577640535349196,0.0006047613088471542,0.00010808507692431823
1,3.0146162898929926e-05,0.29688279017330743,19935.846116432465,3,4.787901696693413e-07,2.75e-06,0.056613556106488015,0.006152750136896916,0.0005044992127312742,0.0004050743615506135,3.1809212571819644e-05
2,0.0001762372038633862,0.01147453457322236,5936.092891297518,1,4.7423104702201403e-07,2.75e-06,0.02393511997399375,0.041272115218829834,0.01225517057450424,0.00031138207683106426,0.00018545672030548124
3,4.175922104335264e-06,0.2532585843223736,5849.980461052826,3,4.6971615581431935e-07,2.75e-06,0.033709830370932496,0.005652295716975483,0.000512438096322471,0.0001678013536578833,2.537652603305407e-05
4,8.370331817107127e-05,0.11540806278190072,16715.174128227158,2,4.542998396515403e-07,2.75e-06,0.02064662583203175,0.005487651437557355,0.0017452158939530004,0.0002263360884978235,3.049287970362547e-05
