iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,2.8026653618527018e-05,0.2132815414777243,20390.90583818124,2,4.768943355065812e-07,2.75e-06,0.04812207392156017,0.006106136400620226,0.0005008493711145688,0.0002977299412712596,3.195171150546029e-05
1,2.7490695957931617e-05,0.12087811796082394,10152.07266740529,2,4.518283175104089e-07,2.75e-06,0.02486234862252223,0.00571149508385646,0.0004748336291744487,0.00040444696945236396,2.885280097882168e-05
2,0.0001737857816124368,0.002571386709670786,21706.1839808804,2,4.594657986252326e-07,2.75e-06,0.056123991447346,0.05176633519614412,0.002086992560833265,0.00021196158501708869,4.014477461449037e-05
3,0.00011405303629240636,0.2726494939330067,2656.7716467667146,1,4.676481908933483e-07,2.75e-06,0.020824886013384534,0.010636703361102562,0.009210328225628886,0.00016529285292418935,0.0001657465820374682
4,0.0001885765914125912,0.16506549131840548,7949.417451623426,2,4.444903039221582e-07,2.75e-06,0.046743049024554145,0.014259883575635271,0.013506264559505677,0.0005830832094784415,0.00014009372651012454
