iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0.0005209502745289631,0.17967775379713655,12346.75467367541,2,4.4653789681697674e-07,2.75e-06,0.04784689765242826,0.016236852525353895,0.012187768550842434,0.0005704678548931453,0.00011837367323919345
1,0.00016025645075305715,0.11986660647982567,18531.258560254068,3,4.5508013479196e-07,2.75e-06,0.023747192400469647,0.009542718974192885,0.007594805477538518,0.000275969233559784,5.6188939954605454e-05
2,0.0002264032484270947,0.0921272653899562,21131.106877688453,3,4.750467210713111e-07,2.75e-06,0.04093495617510184,0.010210903637720743,0.007759391197418259,0.0003122357357835548,5.4081475038845845e-05
3,0.0002232450574949092,0.009858371288108833,12331.104038208892,1,4.546108990854121e-07,2.75e-06,0.040714604809841036,0.024082462515013725,0.005877502324146952,0.0003720556066196037,5.674852806243006e-05
4,4.485264839345493e-05,0.24220473255950836,22190.696639900132,3,4.538259271244219e-07,2.75e-06,0.02255896855215418,0.006047876918288053,0.0004902246374150529,0.0001630177239261653,3.1769782694514324e-05
