iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,1.965127343687242e-05,0.0090468580534675,19829.540508721468,2,4.769863865471668e-07,2.75e-06,0.028554615625541097,0.02021018177155535,0.0004525797303184486,0.00030878372014141815,1.8139944205752085e-05
1,0.00017519412040663425,0.1580184351078526,18392.680517586516,2,4.5711238975126574e-07,2.75e-06,0.023037116390892884,0.007723348367907887,0.00562421664139028,0.000318430982556503,4.283454844612029e-05
2,6.551119434525364e-06,0.13787476516623567,24059.065189478162,1,4.839007490662423e-07,2.75e-06,0.07255155865122458,0.006211946326732297,0.0005097243097966265,0.0006118153372355732,3.230259917830968e-05
3,0.00041138521247238973,0.01628527574377556,21202.106122958194,3,4.747285060474858e-07,2.75e-06,0.027267192611600904,0.028849845275907532,0.008746263497714955,0.00039685644937634306,6.947814008783574e-05
4,5.959484914156115e-06,0.15860962619916247,8351.393198304117,3,4.629183043401363e-07,2.75e-06,0.02475652623074114,0.0058942434926117886,0.0005142572244487812,0.00013691425865154866,2.6412482941197436e-05
