iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,8.360849662723742e-05,0.26418323950020683,20458.323624109005,2,4.46035287819117e-07,2.75e-06,0.023018856842016756,0.005868512719569023,0.0007454543251641205,0.0003789321687259831,3.176516394764708e-05
1,8.303260392981917e-05,0.17165400989360402,10015.272826181495,3,4.5819458307437717e-07,2.75e-06,0.023787320583986468,0.005714955035355501,0.002015423528108276,0.00013835367968525537,3.138148103110092e-05
2,0.00027868946697417844,0.16801321304738237,18585.026156470325,3,4.737607373965763e-07,2.75e-06,0.03923844687059566,0.01070438559236033,0.009187111043518137,0.00028814226088452716,6.578118725881895e-05
3,0.0006972537491496242,0.07251360388128718,22018.597930058117,3,4.583556793600176e-07,2.75e-06,0.026513684909373305,0.019275535797266517,0.010347250514857388,0.00020087252272479148,6.958566067317893e-05
4,5.550538072784098e-05,0.16286472436601268,4295.041081196515,1,4.6097836182249856e-07,2.75e-06,0.021904901893847317,0.005529939759218068,0.0006940548910789007,0.00032010693217777026,2.7072222887328464e-05
