iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0.0001592038611688039,0.06996054063035315,10595.060362662096,1,4.4787850273159154e-07,2.75e-06,0.03472556343507977,0.010047074239873567,0.007614847608188328,0.0004872112715523064,6.262396961290092e-05
1,2.4138242122681904e-06,0.2894937707806132,21382.480514040035,2,4.808584148866468e-07,2.75e-06,0.07309802358611148,0.006290074161857585,0.0005062635532389627,0.0006174302426774969,3.2159217674799384e-05
2,0.006410535576787284,0.29943588451123326,11477.852473252378,3,4.7388398500503244e-07,2.75e-06,0.10955717023367129,0.1219348964655899,0.023546104280888144,0.00032071269168485817,0.0007507605903667001
3,0.000157909477650661,0.19136242725054556,12512.839796341794,2,4.3959033552608817e-07,2.75e-06,0.05039876371414361,0.008970439909146885,0.007269107777471717,0.0007161238594318914,6.272197984858004e-05
4,4.5377258558450186e-05,0.20848823534782385,20848.83313497976,3,4.75643917627168e-07,2.75e-06,0.04937853530192532,0.005906276816701003,0.0004896610276963737,0.0003179489616054959,3.1537135222807574e-05
