iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0.00027865038767633436,0.007460482064989314,15524.5881408914,1,4.7426068151538233e-07,2.75e-06,0.024823102088036716,0.023750299671036108,0.004462618621406538,0.0002860603734677113,4.145889135170816e-05
1,0.00015818789840259866,0.2628971388682105,24103.960409497882,1,4.654112410613903e-07,2.75e-06,0.029287268074266914,0.006123453818340602,0.0028156581841988736,0.00014406315575136183,3.18054263191361e-05
2,5.836653766847589e-05,0.1979047693785841,8077.816140538764,2,4.599072787875801e-07,2.75e-06,0.02100000688282864,0.00551446307784437,0.0006315858906938086,0.00023796900336693505,2.88093955392958e-05
3,0.00010330081577916663,0.2847302194115232,9883.574409024925,3,4.6023520250614243e-07,2.75e-06,0.02025310338541584,0.006149254258776858,0.003347465418843943,0.00019751512740049968,4.200451882788401e-05
4,4.591073242755198e-05,0.2089413244212341,18235.151676282483,3,4.734500633961211e-07,2.75e-06,0.04379191876689096,0.005845279400299133,0.00048056986915354555,0.000252224585846421,3.124991947573033e-05
