iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0.00017282697583022373,0.08038222375992561,7860.200347373242,3,4.745525555835767e-07,2.75e-06,0.040771865118506945,0.022934745588050337,0.019053203198550316,0.0003285628456340175,0.00021020156890930002
1,4.054183727066762e-05,0.27938042322253737,6172.397290924845,1,4.630975519471807e-07,2.75e-06,0.02125633673389542,0.006022731737156787,0.0004923169551767238,0.000190519364502613,3.063945230197896e-05
2,0.00010737749486267056,0.09324891296003579,2378.9267338303903,3,4.6232929433950734e-07,2.75e-06,0.0709924230340937,0.04432486048055406,0.032946047264850044,0.00046096317721213087,0.0006191176100354048
3,0.00015930622437771195,0.10076481283521496,5314.976488664126,1,4.643945860003739e-07,2.75e-06,0.02816997594824211,0.01595186951545154,0.01479817328483442,0.00025340911000830456,0.00016956842594427991
4,0.00017899571747924804,0.12877760799026033,24264.349995534063,1,4.719447626411652e-07,2.75e-06,0.034142298830906324,0.006289511967040962,0.0034610620616090395,0.00018106631373948084,3.1785155942095494e-05
