iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0.0003050116611813853,0.2079584843736291,11738.958514712305,2,4.789520497724996e-07,2.75e-06,0.041899461597857714,0.012237336682653347,0.010725763000935579,0.0003485276776472996,9.142883412693218e-05
1,6.657052279942474e-05,0.14944383110076703,23933.140063631035,3,4.5961297953278285e-07,2.75e-06,0.023101216250422885,0.0056439302727867855,0.000589768250892977,0.00015329776361720502,3.135088199119553e-05
2,0.00010537665780401124,0.009431235456801332,14068.903410949526,3,4.644937502513265e-07,2.75e-06,0.03734933468026377,0.042348320229675517,0.007465560445360543,0.00015428902232172913,7.77759931240475e-05
3,0.0002948860066057406,0.006109943015782392,5303.769984492465,2,4.454561171821181e-07,2.75e-06,0.1713950656988871,0.12989116510552615,0.022938928158324313,0.0005778581179768518,0.0006003801389966631
4,9.012830228709015e-05,0.06167698348516229,8207.150380377632,3,4.5396086778624445e-07,2.75e-06,0.030759433122157325,0.01575662422073948,0.007815832963047963,0.0003361491371336234,8.585409891015941e-05
