iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,8.077212528704821e-05,0.2486485522107689,2723.266915404857,2,4.841144061310313e-07,2.75e-06,0.0320752209988045,0.0080599718904163,0.004456963473972342,0.00019452982916803743,8.4598338786787e-05
1,0.005534196959559423,0.1931804332228875,13353.160540501709,1,4.6305036676718644e-07,2.75e-06,0.031509896387273646,0.0313239363233817,0.006782305566984395,0.00016518767842874216,0.00011969931249384054
2,4.4293786448601444e-05,0.1673037353772056,8722.189667060717,1,4.701142730733078e-07,2.75e-06,0.02591858334053305,0.005815989455490382,0.000509398156958587,0.00013672500837991463,3.087293965845739e-05
3,7.392577969195596e-05,0.1865861636181144,8642.43689412067,2,4.566236424514967e-07,2.75e-06,0.021206547548020455,0.005442179080482615,0.0014439094010792594,0.000274796635638058,2.9669015728734575e-05
4,2.6834706155391896e-05,0.09462693810856011,6483.38499719029,2,4.785065355314071e-07,2.75e-06,0.04004291996404693,0.00691027841750054,0.0005064999845553732,0.00026198171111223973,2.2893391762563446e-05
