iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,8.711641313135566e-05,0.1271614105943124,21761.185965990917,1,4.511995971219971e-07,2.75e-06,0.02354353247348818,0.005751115782962897,0.0008941709742125216,0.00038951402074964667,3.18781760557865e-05
1,7.790627793362462e-05,0.22453008881765069,6349.561170992926,3,4.6123321771825687e-07,2.75e-06,0.021254244413173598,0.0057443246445695,0.001833695789633733,0.00016310309623361182,3.2238791959770955e-05
2,6.968617836397536e-05,0.28726663188314844,19121.12137850529,2,4.731914982531936e-07,2.75e-06,0.04052795775937361,0.006051146365263283,0.0005834599499456272,0.00021252721841879673,3.185967024157181e-05
3,8.12265594094806e-05,0.2196094391739761,6401.889382770582,1,4.6385807435228145e-07,2.75e-06,0.028445384679452138,0.00553492140306179,0.0012874862123655598,0.00013884035728416817,3.0338976623237664e-05
4,8.885019322665899e-05,0.06026755274960174,19977.3232230193,1,4.5462528809794665e-07,2.75e-06,0.020740065013263066,0.005525668293843569,0.0016731645869990117,0.00022355155442225325,3.108697777156651e-05
