iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0.00010890449416992541,0.1575618418372988,20885.311873698887,1,4.550757331555092e-07,2.75e-06,0.02156300065185787,0.005725880849382185,0.0015917456613428616,0.00017291883155346472,3.169348488074549e-05
1,3.53562234132014e-05,0.046422167946220304,2097.8642526997764,1,4.593742949249867e-07,2.75e-06,0.03535911160493651,0.019070253157229957,0.0009503242727283999,0.00036694560512517325,5.533723604389825e-05
2,2.9704282545196474e-05,0.23447911437604713,13507.150727576634,3,4.710527697629481e-07,2.75e-06,0.04381101636221798,0.005811169622006601,0.0005054854017391187,0.0002535999097838262,3.066795281028064e-05
3,6.301171789766647e-05,0.011739391268353192,19125.530404715584,1,4.5889274397039054e-07,2.75e-06,0.020863205519680367,0.010353078628364347,0.0016594653990998423,0.00018265972266690966,2.7151569316939032e-05
4,0.00011800985908719842,0.2036508900641176,22885.202216094236,2,4.5359986041494673e-07,2.75e-06,0.021345357084020217,0.005858279133973459,0.0026298815655125484,0.00031263218405435853,3.1597204171030664e-05
