iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,8.085025379222615e-05,0.07880030497397529,19935.702773868696,1,4.6272297126961914e-07,2.75e-06,0.024688752763410426,0.005525201483574705,0.0011423375676114544,0.000140307622271434,3.145230117141614e-05
1,0.0002259413381754719,0.15907884062609273,8366.466421467127,2,4.631570629965604e-07,2.75e-06,0.025699897485785383,0.014917755886988016,0.013706493347746979,0.00015924669860518207,0.00013837725034926112
2,0.00017879603615427798,0.13890910874614879,3718.1790610266735,2,4.732154442029432e-07,2.75e-06,0.03456521759873305,0.0283841484723594,0.028171028507959977,0.00019573377307319632,0.0004311446116426108
3,0.0005812981173730201,0.1265962644343282,16120.514848991192,2,4.762031373100869e-07,2.75e-06,0.033239825367156896,0.015158812840530791,0.010035492915505944,0.0002848412105541965,8.537032519142852e-05
4,0.00010966588481198026,0.0019138171994025,13514.979941119516,2,4.5940279913030626e-07,2.75e-06,0.10189368451890528,0.09900842290515115,0.0007629390027415065,0.0001907639954067624,0.00011219965032721728
