iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,2.9174874897184917e-05,0.14870243072299108,5095.466858331524,2,4.642048996897972e-07,2.75e-06,0.02921279320976462,0.0061623206668071015,0.0004839899499662783,0.00014822685603659396,2.2749265898078246e-05
1,9.420488211300685e-05,0.12812291790198135,19912.909375952306,1,4.485466354597198e-07,2.75e-06,0.0338687854642444,0.005667499774521251,0.001225940439905992,0.000573928302921341,3.169447667002547e-05
2,0.0004465727566953699,0.18629303772116568,6970.940713083067,3,4.640352270822102e-07,2.75e-06,0.03882905405430249,0.030119883037117143,0.028319704881169954,0.0001920006932775312,0.0003348210713989999
3,0.0008494611014965992,0.23145393051219482,13734.972906638353,2,4.719886746509758e-07,2.75e-06,0.026179953786466665,0.019109425912038038,0.01347562872874071,0.00018132693071081627,0.00013965597423676678
4,1.5490885196835796e-05,0.11243203060827098,15244.762023916686,2,4.78127038944661e-07,2.75e-06,0.050357495069869196,0.0056649422502227,0.0004975050712591695,0.0003429657143194226,3.0672386593262286e-05
