iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,1.185863141431785e-05,0.08020046505076027,14273.502528060153,3,4.842264101375188e-07,2.75e-06,0.06510448878550079,0.006348390027882379,0.0005591497816462586,0.0005690481824730471,2.7715862224182438e-05
1,2.529477280910444e-05,0.20555196638927456,3171.992196285345,1,4.676699635656288e-07,2.75e-06,0.029126236111048715,0.005687199785048537,0.0005025163636323273,0.00013997539141756687,2.5369618383559525e-05
2,0.0001763642195233694,0.26707661549196965,19625.807641156753,2,4.447691115549657e-07,2.75e-06,0.029069862623311224,0.00737084870167648,0.005123761502503556,0.00045498524635798743,3.9590810545828344e-05
3,1.3875803038797861e-05,0.24115077186080103,22828.072253755054,1,4.619956054695096e-07,2.75e-06,0.02276211011011564,0.006387735531538523,0.0005067031667638287,0.00016469280064245777,3.239129902101077e-05
4,0.00017931858111284817,0.19859188038918418,21096.93628522567,1,4.481339929104592e-07,2.75e-06,0.023020182210520407,0.006568352733854063,0.0038433578131135356,0.00035499021405787,3.265262615201398e-05
