iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,3.0486467648621687e-06,0.24836903464437138,17731.618879457536,1,4.731190489769178e-07,2.75e-06,0.042725623762071806,0.006344858105561158,0.000509671287043959,0.00023127133324462928,3.229435680215873e-05
1,2.8967523869857456e-05,0.0016995054478194484,2964.976144041296,3,4.4575208096900877e-07,2.75e-06,0.7043076521649372,0.4878035477049996,0.020268021061121053,0.0004586922223887829,0.0017311605501409897
2,1.5720397287414127e-05,0.11124618616248101,8105.337539544909,3,4.6173504767771835e-07,2.75e-06,0.020927055054925908,0.006739345987947572,0.0005590288167834047,0.0001938137835338701,2.35727038628419e-05
3,0.00015522492424238304,0.004254145489230331,9104.23133437799,3,4.553956197593394e-07,2.75e-06,0.14499310910287824,0.12864162317880265,0.010291256774422228,0.0003058057563051679,0.0003051280590898343
4,0.000138731686242045,0.04971040765372664,7078.460525483052,1,4.6219287881927594e-07,2.75e-06,0.025725503434968978,0.014806666960733522,0.010837093928231034,0.00025005213402353317,0.00010579930294146515
