iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,1.2701366493147192e-05,0.08447575129453765,20982.823616913724,3,4.552381174085504e-07,2.75e-06,0.02198032389491032,0.0057416981074307205,0.000522180319592036,0.00030942724713669845,3.0273548461260704e-05
1,0.00013880316608063742,0.10632600866065473,14875.031941306055,3,4.7344160930472116e-07,2.75e-06,0.0402276258911378,0.01059127423809971,0.008346499446292259,0.0003035239352274149,6.822992792076858e-05
2,0.0005785757709246379,0.2849272277795551,17489.717309609794,1,4.7080226066256897e-07,2.75e-06,0.030895076707394248,0.00919376661540409,0.0067878532947042705,0.00018525970804909812,4.686597281319996e-05
3,0.00013252330554580573,0.18605912297678512,6248.916512263571,2,4.6036707943982295e-07,2.75e-06,0.024797408568865902,0.012638430371399683,0.0115355562750855,0.0002310394486889797,0.0001382364992838854
4,0.0001524944836889412,0.15830350263015672,3466.916184583473,1,4.6939155544796404e-07,2.75e-06,0.02775241256170305,0.019219276073645906,0.019797067165667977,0.0001879032009884509,0.0002937949798875261
