iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0.00024664280008859026,0.2599806419040679,18126.746352745453,3,4.590369516566878e-07,2.75e-06,0.02193146000204474,0.010131294914354952,0.00888684162368421,0.00018904388767160222,6.452194712025892e-05
1,0.0010039038053717554,0.22251153996146467,21922.947436912942,3,4.4707474354959515e-07,2.75e-06,0.03908490385831228,0.019491371818041503,0.011389491187328677,0.0003952038630409902,8.525930140049541e-05
2,8.882326532504034e-05,0.14182974977178187,8138.502485149293,1,4.5605588379549996e-07,2.75e-06,0.02083488659346912,0.005621415869225948,0.002036392343569868,0.00024540739177037683,3.189799934659811e-05
3,8.27067791806943e-05,0.01693890140089219,8606.697807510063,2,4.74532231812777e-07,2.75e-06,0.022714302693646275,0.029837349145572834,0.00740929766078081,0.00031884066603725733,8.076547524352638e-05
4,1.235640485238102e-05,0.22984300478235123,16444.221487466646,1,4.7616336022598136e-07,2.75e-06,0.05958190598467872,0.006296279987476762,0.0005097269435951143,0.00044070789071260353,3.221300030313557e-05
