iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,5.849206361211828e-05,0.19527220558609637,15333.770574771423,1,4.659814270536649e-07,2.75e-06,0.028552108463745614,0.006096574333420916,0.0005292620860786903,0.0001358395227259574,3.195060977828213e-05
1,2.601645573485318e-05,0.019902649327286002,5129.006154531602,1,4.579277677247092e-07,2.75e-06,0.022497875930549124,0.01839253144640629,0.00041537929905803464,0.00016910291759375304,2.029536562300433e-05
2,6.798846830333404e-06,0.2638941215936429,22195.31138842411,2,4.568610264198883e-07,2.75e-06,0.02092557295304434,0.0062597519506812985,0.0005035840659551603,0.00023691684431853544,3.215989670741997e-05
3,0.010631791784778296,0.05341584713430433,20544.163521445214,3,4.629558793790011e-07,2.75e-06,0.06496677106114342,0.0720755787563136,0.01066701133557083,0.0001810097560298158,0.00024524400868054433
4,6.43334562190698e-05,0.06215447881103361,3562.88318939342,2,4.5283535518147316e-07,2.75e-06,0.05430354212091879,0.01876661607168503,0.00472457603611257,0.000611212099010299,8.05519236325685e-05
