iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0.00020351624055933923,0.09136716701499788,19953.407285986446,3,4.800685418052211e-07,2.75e-06,0.05167585110971137,0.010489362200253073,0.008112957721694044,0.0004623675443208215,5.746088276139646e-05
1,2.5093589637423108e-05,0.2610632563945601,24871.7088952996,1,4.571721020474819e-07,2.75e-06,0.02090756926020382,0.006418362574081918,0.0005065374059845842,0.00022696601836013535,3.2423132081970894e-05
2,0.0015762908317153953,0.09014555601619433,24492.206889180306,2,4.590443857819917e-07,2.75e-06,0.029352633009928575,0.021578789246391224,0.008943956738488352,0.0002547264759249083,7.113640495315917e-05
3,0.00010267624889017527,0.25850481650469853,16955.69525606566,1,4.55283987803503e-07,2.75e-06,0.021963922602396376,0.00587681735978856,0.0010985917674210843,0.0003394602407668951,3.1811363699137055e-05
4,0.0014600736176609923,0.24114539599427076,24648.61913150992,2,4.4027636122559415e-07,2.75e-06,0.05143613353693919,0.016458970876316027,0.008433249004348583,0.0006144568360726891,7.093363469307726e-05
