iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,1.7110290811526048e-05,0.2821645869267365,18335.698928950038,3,4.7798634365185e-07,2.75e-06,0.06685856884433651,0.006097303150173161,0.0005119340244039467,0.0005396574137991101,3.1651289888659544e-05
1,3.6795908787351067e-05,0.12716684960010874,22973.34044931295,3,4.593179968199253e-07,2.75e-06,0.021792780718943545,0.005697184780020387,0.00048499106175432316,0.00016938688202032312,3.1223147081461975e-05
2,3.547919197981041e-05,0.1157410616135285,12451.419508766292,2,4.5698574341586457e-07,2.75e-06,0.022565481229883475,0.005641047940444218,0.00047768633990679803,0.00034426089279531114,2.9818463267913873e-05
3,9.262760107644634e-05,0.01523792625024658,6924.5666542261515,1,4.527744417495002e-07,2.75e-06,0.03308571520710204,0.02454356812190243,0.007991028006688591,0.00026866326302231886,8.602316803776004e-05
4,0.00023279174700908126,0.08786389250833974,17064.63172023964,3,4.6103726369226e-07,2.75e-06,0.022606295446326117,0.012035718937167518,0.009165743347489643,0.00015983503888533963,6.886101613054227e-05
