iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ibd_loss,dxy_loss,genrel_loss
0,0.0005434585367476904,0.20676777596997373,9626.611883308986,3,4.6594176850181854e-07,2.75e-06,0.03314076755990352,0.025033600918540216,0.022092232968665967,0.00017319539816575157,0.00022399886964951776
1,4.6388207182593175e-05,0.15546795185203294,6281.16271356492,2,4.569630901259535e-07,2.75e-06,0.02176130266532555,0.005736819800048427,0.0005767687179177119,0.00029022660894009923,2.5833923071706018e-05
2,9.597712140572013e-05,0.12467633545779028,2993.3417306179367,3,4.6322664853506226e-07,2.75e-06,0.031604461135468054,0.02422285892819807,0.016851477240232036,0.0002180232620898752,0.0003017373193781589
3,5.399495136012553e-05,0.16659335176802628,18294.939467201104,1,4.601391484683324e-07,2.75e-06,0.021893854256149686,0.006107358762392912,0.0005125891102097251,0.0001760548303883485,3.206670436894702e-05
4,0.00018334516149038542,0.28992466480941265,6218.0959356977755,1,4.4787585215065307e-07,2.75e-06,0.03451991930230631,0.012943685191031729,0.012696674330929733,0.0004459607269720367,0.00014076658101211392
