1,62992,62996,62999,63009,63016,63017,63105,63110,63111,63112,63135,63136,63144,63148,63153,63181,63189,63190,63231,63233,63244
62992,0,0,4916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62996,0,0,0,5552,0,9228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62999,0,0,0,9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63016,0,0,0,0,0,6294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63110,0,0,0,0,0,0,0,0,386,4195,0,0,8947,1712,1935,0,0,0,3351,3390,8027
63111,0,0,0,0,0,0,0,0,0,3845,0,0,8942,1779,2111,0,0,0,3264,3587,7710
63112,0,0,0,0,0,0,0,0,0,0,0,0,8053,3945,4564,0,0,0,3266,5570,3968
63135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9302
63136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63144,0,0,0,0,0,0,0,0,0,0,0,0,0,7245,7223,3698,3959,4722,5760,6237,7737
63148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,9114,9928,0,1838,1957,7311
63153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8847,9689,0,2194,1477,7856
63181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943,2019,8176,7472,0
63189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,8896,8340,0
63190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9918,9430,0
63231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533,5847
63233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8364
63244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
