0.0006280898,-3.8570737e-05,-2.4714697e-05,-2.3866244e-05,-3.1523395e-05,-4.061822e-05,-3.6926068e-05,-3.4695212e-05,-3.0753522e-05,-3.2820672e-05,-3.6686459e-05,-1.4362561e-05,-3.3490336e-05,-1.4964353e-05,-4.5475633e-05,-4.5753217e-05,-4.3893459e-05,-4.0298002e-05,-3.8254819e-05,-2.0422189e-05
-3.8570737e-05,0.00054795971,-3.3306834e-05,-1.7970992e-05,-2.4824612e-05,-5.2863454e-05,-3.7708659e-05,-2.7772339e-05,-2.6816464e-05,-2.4170214e-05,-8.095121e-05,-1.7857669e-05,-2.6576296e-05,-2.9625893e-05,-3.8124873e-05,-5.1071028e-06,-9.9605649e-06,-2.2874683e-05,4.5500067e-07,-3.3332112e-05
-2.4714697e-05,-3.3306834e-05,0.00052445983,-2.4070847e-05,-2.1830314e-05,-2.6703632e-05,-3.4454425e-05,-1.8884434e-05,-2.0414276e-05,-3.9355636e-05,-5.0681465e-05,-1.2808124e-05,-1.0571961e-05,-2.5250929e-05,-3.4036568e-05,-3.308306e-05,-3.2972117e-05,-3.0507417e-05,-3.0271311e-05,-2.0541784e-05
-2.3866244e-05,-1.7970992e-05,-2.4070847e-05,0.00052340382,-2.8007002e-05,-3.5125503e-05,-3.0748528e-05,-2.6220659e-05,-2.3104673e-05,-3.0377958e-05,-5.9853882e-05,-1.4392148e-05,-2.2534983e-05,-2.6368702e-05,-3.4139861e-05,-2.718352e-05,-2.8390451e-05,-2.3344394e-05,-2.586708e-05,-2.1836389e-05
-3.1523395e-05,-2.4824612e-05,-2.1830314e-05,-2.8007002e-05,0.00052829254,-3.259416e-05,-2.5989672e-05,-2.2302962e-05,-1.786346e-05,-3.7117636e-05,-6.4339142e-05,-1.8710034e-05,-1.9947541e-05,-3.0530784e-05,-3.332102e-05,-2.5288426e-05,-2.410756e-05,-1.7141482e-05,-2.8852617e-05,-2.4000717e-05
-4.061822e-05,-5.2863454e-05,-2.6703632e-05,-3.5125503e-05,-3.259416e-05,0.00072766459,-4.5322381e-05,-2.5163115e-05,-3.5345168e-05,-5.4292447e-05,-6.1937892e-05,-2.2806405e-05,-2.4779121e-05,-3.3381349e-05,-3.9612322e-05,-4.1196735e-05,-3.8407154e-05,-3.5826585e-05,-4.9541791e-05,-3.2147161e-05
-3.6926068e-05,-3.7708659e-05,-3.4454425e-05,-3.0748528e-05,-2.5989672e-05,-4.5322381e-05,0.00073651571,-3.978386e-05,-4.2659923e-05,-4.433336e-05,-7.1580909e-05,-2.3034557e-05,-3.4042314e-05,-3.3254813e-05,-3.9906728e-05,-4.0662494e-05,-4.315395e-05,-3.0417732e-05,-4.6598588e-05,-3.5936744e-05
-3.4695212e-05,-2.7772339e-05,-1.8884434e-05,-2.6220659e-05,-2.2302962e-05,-2.5163115e-05,-3.978386e-05,0.00051913422,-1.8040256e-05,-3.197037e-05,-4.7734435e-05,-1.0788906e-05,-1.632829e-05,-3.0012496e-05,-3.0112366e-05,-2.9711132e-05,-2.7652884e-05,-3.0481925e-05,-3.2122596e-05,-1.9355983e-05
-3.0753522e-05,-2.6816464e-05,-2.0414276e-05,-2.3104673e-05,-1.786346e-05,-3.5345168e-05,-4.2659923e-05,-1.8040256e-05,0.00051307345,-2.9328245e-05,-4.0509916e-05,-1.9291219e-05,-1.3605029e-05,-3.5400464e-05,-4.0877118e-05,-2.025649e-05,-2.9507291e-05,-2.5339746e-05,-2.8129162e-05,-1.5831032e-05
-3.2820672e-05,-2.4170214e-05,-3.9355636e-05,-3.0377958e-05,-3.7117636e-05,-5.4292447e-05,-4.433336e-05,-3.197037e-05,-2.9328245e-05,0.00051496757,0.00013667635,-2.607705e-05,-4.3152986e-05,-3.3351323e-05,-4.7348514e-05,-3.2088281e-05,-3.3832857e-05,-4.0674151e-05,-2.5547947e-05,-4.5804277e-05
